code|name|parent
1|I Enfermedades infecciosas y parasitarias|
2|II Tumores [neoplasias]|
3|III Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan el mecanismo de la inmunidad |
4|IV Enfermedades endocrinas, nutricionales y metabólicas|
5|V Trastornos mentales y del comportamiento|
6|VI Enfermedades del sistema nervioso|
7|VII Enfermedades del ojo y sus anexos|
8|VIII Enfermedades del o¡do y de la apófisis mastoides|
9|IX Enfermedades del sistema circulatorio|
10|X Enfermedades del sistema respiratorio|
11|XI Enfermedades del sistema digestivo|
12|XII Enfermedades de la piel y del tejido subcutáneo|
13|XIII Enfermedades del sistema osteomuscular y del tejido conjuntivo|
14|XIV Enfermedades del sistema genitourinario|
15|XV Embarazo, parto y puerperio|
16|XVI Ciertas afecciones originadas en el periodo perinatal|
17|XVII Malformaciones congénitas, deformidades y anomalías cromosómicas|
18|XVIII Síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte|
19|XIX Traumatismos, envenenamientos y algunas otras consecuencias de causa externa|
20|XX Causas externas de morbilidad y de mortalidad|
21|XXI Factores que influyen en el estado de salud y contacto con los servicios de salud|
22|XXII Códigos para situaciones especiales|
23|(A00-A09) Enfermedades intestinales infecciosas|1
24|(A15-A19) Tuberculosis|1
25|(A20-A28) Ciertas enfermedades zoonósicas bacterianas|1
26|(A30-A49) Otras enfermedades bacterianas|1
27|(A50-A64) Infecciones con un modo de transmisión predominantemente sexual|1
28|(A65-A69) Enfermedades infecciosas transmitidas por espiroquetas|1
29|(A70-A74) Otras enfermedades causadas por chlamydiae|1
30|(A75-A79) Rickettsiosis|1
31|(A80-A89) Infecciones virales del sistema nervioso central|1
32|(A90-A991) Fiebres virales y fiebres virales hemorrágicas vectorizadas por Artrópodos|1
33|(B00-B09) Infecciones virales caracterizadas por lesiones de la piel y membranas mucosas|1
34|(B15-B19) Hepatitis vírica|1
35|(B20-B24) Enfermedades causadas por el Virus de la inmunodeficiencia humana (VIH)|1
36|(B25-B34) Otras Enfermedades virales|1
37|(B35-B49) Micosis|1
38|(B50-B64) Enfermedades protozoarias|1
39|(B65-B83) Helmintiasis|1
40|(B85-B89) Pediculosis, acariasis y otras infecciones|1
41|(B90-B94) Secuelas de enfermedades infecciosas y parasitarias|1
42|(B95-B97) Agentes bacterianos, virales y otros agentes infecciosos|1
43|(B99) Otras Enfermedades infecciosas|1
44|(C00-C14) Tumores malignos del labio, de la cavidad bucal y de la faringe|2
45|(C15-C26) Tumores malignos de los órganos digestivos|2
46|(C30-C39) Tumores malignos del sistema respiratorio y de órganos anexos|2
47|(C40-C41) Tumores malignos de otros huesos y cartílagos|2
48|(C43-C44) Melanoma y otros tumores malignos de la piel|2
49|(C45-C49) Tumores malignos de los tejidos mesoteliales y de los tejidos blandos|2
50|(C50-C50) Tumor maligno de la mama|2
51|(C51-C58) Tumores malignos de los órganos sexuales femeninos|2
52|(C60-C63) [Tumores malignos de los órganos sexuales masculinos|2
53|(C64-C68) Tumores malignos del sistema urinario|2
54|(C69-C72) Tumores malignos del ojo y sistema nervioso|2
55|(C73-C75) Tumores malignos de la glándula tiroides y de otras gándulas endocrinas|2
56|(C76-C80) Tumores malignos de sitios mal definidos, secundarios y de sitios no especificados|2
57|(C81-C96) Tumores malignos del tejido linfático, de los órganos hematopoyéticos y de tejidos afines|2
58|(C97-C97) Tumores malignos (primarios) de sitios múltiples independientes|2
59|(D00-D09) Carcinomas in  situ|2
60|(D10-D36) Neoplasias Benignas|2
