code|name|category|groups|chromosome|protein|gene|information|active
A00|Cholera|23|INFECTIOUS,NOTIFIABLE|||||True
A00.0|Cholera due to Vibrio cholerae 01, biovar cholerae|23|INFECTIOUS,NOTIFIABLE|||||True
A00.1|Cholera due to Vibrio cholerae 01, biovar eltor|23|INFECTIOUS,NOTIFIABLE|||||True
A00.9|Cholera, unspecified|23|INFECTIOUS,NOTIFIABLE|||||True
A01|Typhoid and paratyphoid fevers|23|INFECTIOUS|||||True
A01.0|Typhoid fever|23|INFECTIOUS,NOTIFIABLE|||||True
A01.1|Paratyphoid fever A|23|INFECTIOUS|||||True
A01.2|Paratyphoid fever B|23|INFECTIOUS|||||True
A01.3|Paratyphoid fever C|23|INFECTIOUS|||||True
A01.4|Paratyphoid fever, unspecified|23|INFECTIOUS|||||True
A02|Other salmonella infections|23|INFECTIOUS|||||True
A02.0|Salmonella enteritis|23|INFECTIOUS,NOTIFIABLE|||||True
A02.1|Salmonella sepsis|23|INFECTIOUS|||||True
A02.2|Localized salmonella infections|23|INFECTIOUS|||||True
A02.8|Other specified salmonella infections|23|INFECTIOUS|||||True
A02.9|Salmonella infection, unspecified|23|INFECTIOUS|||||True
A03|Shigellosis|23|INFECTIOUS,NOTIFIABLE|||||True
A03.0|Shigellosis due to Shigella dysenteriae|23|INFECTIOUS,NOTIFIABLE|||||True
A03.1|Shigellosis due to Shigella flexneri|23|INFECTIOUS,NOTIFIABLE|||||True
A03.2|Shigellosis due to Shigella boydii|23|INFECTIOUS,NOTIFIABLE|||||True
A03.3|Shigellosis due to Shigella sonnei|23|INFECTIOUS,NOTIFIABLE|||||True
A03.8|Other shigellosis|23|INFECTIOUS,NOTIFIABLE|||||True
A03.9|Shigellosis, unspecified|23|INFECTIOUS,NOTIFIABLE|||||True
A04|Other bacterial intestinal infections|23|INFECTIOUS|||||True
A04.0|Enteropathogenic Escherichia coli infection|23|INFECTIOUS|||||True
A04.1|Enterotoxigenic Escherichia coli infection|23|INFECTIOUS|||||True
A04.2|Enteroinvasive Escherichia coli infection|23|INFECTIOUS|||||True
A04.3|Enterohaemorrhagic Escherichia coli infection|23|INFECTIOUS|||||True
A04.4|Other intestinal Escherichia coli infections|23|INFECTIOUS|||||True
A04.5|Campylobacter enteritis|23|INFECTIOUS|||||True
A04.6|Enteritis due to Yersinia enterocolitica|23|INFECTIOUS|||||True
A04.7|Enterocolitis due to Clostridium difficile|23|INFECTIOUS|||||True
A04.8|Other specified bacterial intestinal infections|23|INFECTIOUS|||||True
A04.9|Bacterial intestinal infection, unspecified|23|INFECTIOUS|||||True
A05|Other bacterial foodborne intoxications, not elsewhere classified|23|INFECTIOUS|||||True
A05.0|Foodborne staphylococcal intoxication|23|INFECTIOUS|||||True
A05.1|Botulism|23|INFECTIOUS,NOTIFIABLE,PEDIATRIC|||||True
A05.2|Foodborne Clostridium perfringens [Clostridium welchii] intoxication|23|INFECTIOUS|||||True
A05.3|Foodborne Vibrio parahaemolyticus intoxication|23|INFECTIOUS,NOTIFIABLE|||||True
A05.4|Foodborne Bacillus cereus intoxication|23|INFECTIOUS|||||True
A05.8|Other specified bacterial foodborne intoxications|23|INFECTIOUS|||||True
A05.9|Bacterial foodborne intoxication, unspecified|23|INFECTIOUS|||||True
A06|Amoebiasis|23|INFECTIOUS|||||True
A06.0|Acute amoebic dysentery|23|INFECTIOUS|||||True
A06.1|Chronic intestinal amoebiasis|23|INFECTIOUS|||||True
A06.2|Amoebic nondysenteric colitis|23|INFECTIOUS|||||True
A06.3|Amoeboma of intestine|23|INFECTIOUS|||||True
A06.4|Amoebic liver abscess|23|INFECTIOUS|||||True
A06.5|Amoebic lung abscess|23|INFECTIOUS|||||True
A06.6|Amoebic brain abscess|23|INFECTIOUS|||||True
A06.7|Cutaneous amoebiasis|23|INFECTIOUS|||||True
A06.8|Amoebic infection of other sites|23|INFECTIOUS|||||True
A06.9|Amoebiasis, unspecified|23|INFECTIOUS|||||True
A07|Other protozoal intestinal diseases|23|INFECTIOUS|||||True
A07.0|Balantidiasis|23|INFECTIOUS|||||True
A07.1|Giardiasis [lambliasis]|23|INFECTIOUS,NOTIFIABLE|||||True
A07.2|Cryptosporidiosis|23|INFECTIOUS,NOTIFIABLE|||||True
A07.3|Isosporiasis|23|INFECTIOUS|||||True
A07.8|Other specified protozoal intestinal diseases|23|INFECTIOUS,NOTIFIABLE|||||True
A07.9|Protozoal intestinal disease, unspecified|23|INFECTIOUS|||||True
A08|Viral and other specified intestinal infections|23|INFECTIOUS|||||True
A08.0|Rotaviral enteritis|23|INFECTIOUS|||||True
A08.1|Acute gastroenteropathy due to Norwalk agent|23|INFECTIOUS|||||True
A08.2|Adenoviral enteritis|23|INFECTIOUS|||||True
A08.3|Other viral enteritis|23|INFECTIOUS|||||True
A08.4|Viral intestinal infection, unspecified|23|INFECTIOUS|||||True
A08.5|Other specified intestinal infections|23|INFECTIOUS|||||True
A09|Other gastroenteritis and colitis of infectious and unspecified origin|23|INFECTIOUS|||||True
A15|Respiratory tuberculosis, bacteriologically and histologically confirmed|24|INFECTIOUS,NOTIFIABLE|||||True
A15.0|Tuberculosis of lung, confirmed by sputum microscopy with or without culture|24|INFECTIOUS,NOTIFIABLE|||||True
A15.1|Tuberculosis of lung, confirmed by culture only|24|INFECTIOUS,NOTIFIABLE|||||True
A15.2|Tuberculosis of lung, confirmed histologically|24|INFECTIOUS,NOTIFIABLE|||||True
A15.3|Tuberculosis of lung, confirmed by unspecified means|24|INFECTIOUS,NOTIFIABLE|||||True
A15.4|Tuberculosis of intrathoracic lymph nodes, confirmed bacteriologically and histologically|24|INFECTIOUS,NOTIFIABLE|||||True
A15.5|Tuberculosis of larynx, trachea and bronchus, confirmed bacteriologically and histologically|24|INFECTIOUS,NOTIFIABLE|||||True
A15.6|Tuberculous pleurisy, confirmed bacteriologically and histologically|24|INFECTIOUS,NOTIFIABLE|||||True
A15.7|Primary respiratory tuberculosis, confirmed bacteriologically and histologically|24|INFECTIOUS,NOTIFIABLE|||||True
A15.8|Other respiratory tuberculosis, confirmed bacteriologically and histologically|24|INFECTIOUS,NOTIFIABLE|||||True
A15.9|Respiratory tuberculosis unspecified, confirmed bacteriologically and histologically|24|INFECTIOUS,NOTIFIABLE|||||True
A16|Respiratory tuberculosis, not confirmed bacteriologically or histologically|24|INFECTIOUS,NOTIFIABLE|||||True
A16.0|Tuberculosis of lung, bacteriologically and histologically negative|24|INFECTIOUS,NOTIFIABLE|||||True
A16.1|Tuberculosis of lung, bacteriological and histological examination not done|24|INFECTIOUS,NOTIFIABLE|||||True
A16.2|Tuberculosis of lung, without mention of bacteriological or histological confirmation|24|INFECTIOUS,NOTIFIABLE|||||True
A16.3|Tuberculosis of intrathoracic lymph nodes, without mention of bacteriological or histological confirmation|24|INFECTIOUS,NOTIFIABLE|||||True
A16.4|Tuberculosis of larynx, trachea and bronchus, without mention of bacteriological or histological confirmation|24|INFECTIOUS,NOTIFIABLE|||||True
A16.5|Tuberculous pleurisy, without mention of bacteriological or histological confirmation|24|INFECTIOUS,NOTIFIABLE|||||True
A16.7|Primary respiratory tuberculosis without mention of bacteriological or histological confirmation|24|INFECTIOUS,NOTIFIABLE|||||True
A16.8|Other respiratory tuberculosis, without mention of bacteriological or histological confirmation|24|INFECTIOUS,NOTIFIABLE|||||True
A16.9|Respiratory tuberculosis unspecified, without mention of bacteriological or histological confirmation|24|INFECTIOUS,NOTIFIABLE|||||True
A17|Tuberculosis of nervous system|24|INFECTIOUS,NOTIFIABLE|||||True
A17.0|Tuberculous meningitis|24|INFECTIOUS,NOTIFIABLE|||||True
A17.1|Meningeal tuberculoma|24|INFECTIOUS,NOTIFIABLE|||||True
A17.8|Other tuberculosis of nervous system|24|INFECTIOUS,NOTIFIABLE|||||True
A17.9|Tuberculosis of nervous system, unspecified|24|INFECTIOUS,NOTIFIABLE|||||True
A18|Tuberculosis of other organs|24|INFECTIOUS,NOTIFIABLE|||||True
A18.0|Tuberculosis of bones and joints|24|INFECTIOUS,NOTIFIABLE|||||True
A18.1|Tuberculosis of genitourinary system|24|INFECTIOUS,NOTIFIABLE|||||True
A18.2|Tuberculous peripheral lymphadenopathy|24|INFECTIOUS,NOTIFIABLE|||||True
A18.3|Tuberculosis of intestines, peritoneum and mesenteric glands|24|INFECTIOUS,NOTIFIABLE|||||True
A18.4|Tuberculosis of skin and subcutaneous tissue|24|INFECTIOUS,NOTIFIABLE|||||True
A18.5|Tuberculosis of eye|24|INFECTIOUS,NOTIFIABLE|||||True
A18.6|Tuberculosis of ear|24|INFECTIOUS,NOTIFIABLE|||||True
A18.7|Tuberculosis of adrenal glands|24|INFECTIOUS,NOTIFIABLE|||||True
A18.8|Tuberculosis of other specified organs|24|INFECTIOUS,NOTIFIABLE|||||True
A19|Miliary tuberculosis|24|INFECTIOUS,NOTIFIABLE|||||True
A19.0|Acute miliary tuberculosis of a single specified site|24|INFECTIOUS,NOTIFIABLE|||||True
A19.1|Acute miliary tuberculosis of multiple sites|24|INFECTIOUS,NOTIFIABLE|||||True
A19.2|Acute miliary tuberculosis, unspecified|24|INFECTIOUS,NOTIFIABLE|||||True
