code|name|category|groups|chromosome|protein|gene|information|active
A00|Cólera|23|INFECTIOUS,NOTIFIABLE|||||True
A00.0|Cólera debido a Vibrio cholerae 01, biotipo cholerae|23|INFECTIOUS,NOTIFIABLE|||||True
A00.1|Cólera debido a Vibrio cholerae 01, biotipo El Tor|23|INFECTIOUS,NOTIFIABLE|||||True
A00.9|Cólera, no especificado|23|INFECTIOUS,NOTIFIABLE|||||True
A01|Fiebres tifoidea y paratifoidea|23|INFECTIOUS|||||True
A01.0|Fiebre tifoidea|23|INFECTIOUS,NOTIFIABLE|||||True
A01.1|Fiebre paratifoidea A|23|INFECTIOUS|||||True
A01.2|Fiebre paratifoidea B|23|INFECTIOUS|||||True
A01.3|Fiebre paratifoidea C|23|INFECTIOUS|||||True
A01.4|Fiebre paratifoidea, no especificada|23|INFECTIOUS|||||True
A02|Otras infecciones debidas a Salmonella|23|INFECTIOUS|||||True
A02.0|Enteritis debida a Salmonella|23|INFECTIOUS,NOTIFIABLE|||||True
A02.1|Septicemia debida a Salmonella|23|INFECTIOUS|||||True
A02.2|Infecciones localizadas debidas a Salmonella|23|INFECTIOUS|||||True
A02.8|Otras infecciones especificadas como debidas a Salmonella|23|INFECTIOUS|||||True
A02.9|Infección debida a Salmonella, no especificada|23|INFECTIOUS|||||True
A03|Shigelosis|23|INFECTIOUS,NOTIFIABLE|||||True
A03.0|Shigelosis debida a Shigella dysenteriae|23|INFECTIOUS,NOTIFIABLE|||||True
A03.1|Shigelosis debida a Shigella flexneri|23|INFECTIOUS,NOTIFIABLE|||||True
A03.2|Shigelosis debida a Shigella boydii|23|INFECTIOUS,NOTIFIABLE|||||True
A03.3|Shigelosis debida a Shigella sonnei|23|INFECTIOUS,NOTIFIABLE|||||True
A03.8|Otras shigelosis|23|INFECTIOUS,NOTIFIABLE|||||True
A03.9|Shigelosis de tipo no especificado|23|INFECTIOUS,NOTIFIABLE|||||True
A04|Otras infecciones intestinales bacterianas|23|INFECTIOUS|||||True
A04.0|Infección debida a Escherichia coli enteropatógena|23|INFECTIOUS|||||True
A04.1|Infección debida a Escherichia coli enterotoxígena|23|INFECTIOUS|||||True
A04.2|Infección debida a Escherichia coli enteroinvasiva|23|INFECTIOUS|||||True
A04.3|Infección debida a Escherichia coli enterohemorrágica|23|INFECTIOUS|||||True
A04.4|Otras infecciones intestinales debidas a Escherichia coli|23|INFECTIOUS|||||True
A04.5|Enteritis debida a Campylobacter|23|INFECTIOUS|||||True
A04.6|Enteritis debida a Yersinia enterocolitica|23|INFECTIOUS|||||True
A04.7|Enterocolitis debida a Clostridium difficile|23|INFECTIOUS|||||True
A04.8|Otras infecciones intestinales bacterianas especificadas|23|INFECTIOUS|||||True
A04.9|Infección intestinal bacteriana, no especificada|23|INFECTIOUS|||||True
A05|Otras intoxicaciones alimentarias bacterianas|23|INFECTIOUS|||||True
A05.0|Intoxicación alimentaria estafilocócica|23|INFECTIOUS|||||True
A05.1|Botulismo|23|INFECTIOUS,NOTIFIABLE,PEDIATRIC|||||True
A05.2|Intoxicación alimentaria debida a Clostridium perfringens [Clostridium welchii]|23|INFECTIOUS|||||True
A05.3|Intoxicación alimentaria debida a Vibrio parahaemolyticus|23|INFECTIOUS,NOTIFIABLE|||||True
A05.4|Intoxicación alimentaria debida a Bacillus cereus|23|INFECTIOUS|||||True
A05.8|Otras intoxicaciones alimentarias debidas a bacterias especificadas|23|INFECTIOUS|||||True
A05.9|Intoxicación alimentaria bacteriana, no especificada|23|INFECTIOUS|||||True
A06|Amebiasis|23|INFECTIOUS|||||True
A06.0|Disentería amebiana aguda|23|INFECTIOUS|||||True
A06.1|Amebiasis intestinal crónica|23|INFECTIOUS|||||True
A06.2|Colitis amebiana no disentérica|23|INFECTIOUS|||||True
A06.3|Ameboma intestinal|23|INFECTIOUS|||||True
A06.4|Absceso amebiano del hígado|23|INFECTIOUS|||||True
A06.5|Absceso amebiano del pulmón (J99.8*)|23|INFECTIOUS|||||True
A06.6|Absceso amebiano del cerebro (G07*)|23|INFECTIOUS|||||True
A06.7|Amebiasis cutánea|23|INFECTIOUS|||||True
A06.8|Infección amebiana de otras localizaciones|23|INFECTIOUS|||||True
A06.9|Amebiasis, no especificada|23|INFECTIOUS|||||True
A07|Otras enfermedades intestinales debidas a protozoarios|23|INFECTIOUS|||||True
A07.0|Balantidiasis|23|INFECTIOUS|||||True
A07.1|Giardiasis [lambliasis]|23|INFECTIOUS,NOTIFIABLE|||||True
A07.2|Criptosporidiosis|23|INFECTIOUS,NOTIFIABLE|||||True
A07.3|Isosporiasis|23|INFECTIOUS|||||True
A07.8|Otras enfermedades intestinales especificadas debidas a protozoarios|23|INFECTIOUS,NOTIFIABLE|||||True
A07.9|Enfermedad intestinal debida a protozoarios, no especificada|23|INFECTIOUS|||||True
A08|Infecciones intestinales debidas a virus y otros organismos especificados|23|INFECTIOUS|||||True
A08.0|Enteritis debida a rotavirus|23|INFECTIOUS|||||True
A08.1|Gastroenteropatía aguda debida al agente de Norwalk|23|INFECTIOUS|||||True
A08.2|Enteritis debida a adenovirus|23|INFECTIOUS|||||True
A08.3|Otras enteritis virales|23|INFECTIOUS|||||True
A08.4|Infección intestinal viral, sin otra especificación|23|INFECTIOUS|||||True
A08.5|Otras infecciones intestinales especificadas|23|INFECTIOUS|||||True
A09|Diarrea y gastroenteritis de presunto origen infeccioso|23|INFECTIOUS|||||True
A15|Tuberculosis respiratoria, confirmada bacteriológica e histológicamente|24|INFECTIOUS,NOTIFIABLE|||||True
A15.0|Tuberculosis del pulmón, confirmada por hallazgo microscópico del bacilo tuberculoso en esputo, con o sin cultivo|24|INFECTIOUS,NOTIFIABLE|||||True
A15.1|Tuberculosis del pulmón, confirmada únicamente por cultivo|24|INFECTIOUS,NOTIFIABLE|||||True
A15.2|Tuberculosis del pulmón, confirmada histológicamente|24|INFECTIOUS,NOTIFIABLE|||||True
A15.3|Tuberculosis del pulmón, confirmada por medios no especificados|24|INFECTIOUS,NOTIFIABLE|||||True
A15.4|Tuberculosis de ganglios linfáticos intratorácicos, confirmada bacteriológica e histológicamente|24|INFECTIOUS,NOTIFIABLE|||||True
A15.5|Tuberculosis de laringe, tráquea y bronquios, confirmada bacteriológica e histológicamente|24|INFECTIOUS,NOTIFIABLE|||||True
A15.6|Pleuresía tuberculosa, confirmada bacteriológica e histológicamente|24|INFECTIOUS,NOTIFIABLE|||||True
A15.7|Tuberculosis respiratoria primaria, confirmada bacteriológica e histológicamente|24|INFECTIOUS,NOTIFIABLE|||||True
A15.8|Otras tuberculosis respiratorias, confirmadas bacteriológica e histológicamente|24|INFECTIOUS,NOTIFIABLE|||||True
A15.9|Tuberculosis respiratoria no especificada, confirmada bacteriológica e histológicamente|24|INFECTIOUS,NOTIFIABLE|||||True
A16|Tuberculosis respiratoria, no confirmada bacteriológica o histológicamente|24|INFECTIOUS,NOTIFIABLE|||||True
A16.0|Tuberculosis del pulmón, con examen bacteriológico e histológico negativos|24|INFECTIOUS,NOTIFIABLE|||||True
A16.1|Tuberculosis del pulmón, sin examen bacteriológico e histológico|24|INFECTIOUS,NOTIFIABLE|||||True
A16.2|Tuberculosis del pulmón, sin mención de confirmación bacteriológica o histológica|24|INFECTIOUS,NOTIFIABLE|||||True
A16.3|Tuberculosis de ganglios linfáticos intratorácicos, sin mención de confirmación bacteriológica o histológica|24|INFECTIOUS,NOTIFIABLE|||||True
A16.4|Tuberculosis de laringe, tráquea y bronquios, sin mención de confirmación bacteriológica o histológica|24|INFECTIOUS,NOTIFIABLE|||||True
A16.5|Pleuresía tuberculosa, sin mención de confirmación bacteriológica o histológica|24|INFECTIOUS,NOTIFIABLE|||||True
A16.7|Tuberculosis respiratoria primaria, sin mención de confirmación bacteriológica o histológica|24|INFECTIOUS,NOTIFIABLE|||||True
A16.8|Otras tuberculosis respiratorias, sin mención de confirmación|24|INFECTIOUS,NOTIFIABLE|||||True
A16.9|Tuberculosis respiratoria no especificada, sin mención de confirmación bacteriológica o histológica|24|INFECTIOUS,NOTIFIABLE|||||True
A17|Tuberculosis del sistema nervioso|24|INFECTIOUS,NOTIFIABLE|||||True
A17.0|Meningitis tuberculosa|24|INFECTIOUS,NOTIFIABLE|||||True
A17.1|Tuberculoma meníngeo|24|INFECTIOUS,NOTIFIABLE|||||True
A17.8|Otras tuberculosis del sistema nervioso|24|INFECTIOUS,NOTIFIABLE|||||True
A17.9|Tuberculosis del sistema nervioso, no especificada|24|INFECTIOUS,NOTIFIABLE|||||True
A18|Tuberculosis de otros órganos|24|INFECTIOUS,NOTIFIABLE|||||True
A18.0|Tuberculosis de huesos y articulaciones|24|INFECTIOUS,NOTIFIABLE|||||True
A18.1|Tuberculosis del aparato genitourinario|24|INFECTIOUS,NOTIFIABLE|||||True
A18.2|Linfadenopatía periférica tuberculosa|24|INFECTIOUS,NOTIFIABLE|||||True
A18.3|Tuberculosis de los intestinos, el peritoneo y los ganglios mesentéricos|24|INFECTIOUS,NOTIFIABLE|||||True
A18.4|Tuberculosis de la piel y el tejido subcutáneo|24|INFECTIOUS,NOTIFIABLE|||||True
A18.5|Tuberculosis del ojo|24|INFECTIOUS,NOTIFIABLE|||||True
A18.6|Tuberculosis del oído|24|INFECTIOUS,NOTIFIABLE|||||True
A18.7|Tuberculosis de glándulas suprarrenales (E35.1*)|24|INFECTIOUS,NOTIFIABLE|||||True
A18.8|Tuberculosis de otros órganos especificados|24|INFECTIOUS,NOTIFIABLE|||||True
A19|Tuberculosis miliar|24|INFECTIOUS,NOTIFIABLE|||||True
A19.0|Tuberculosis miliar aguda de un solo sitio especificado|24|INFECTIOUS,NOTIFIABLE|||||True
A19.1|Tuberculosis miliar aguda de sitios múltiples|24|INFECTIOUS,NOTIFIABLE|||||True
A19.2|Tuberculosis miliar aguda, no especificada|24|INFECTIOUS,NOTIFIABLE|||||True
A19.8|Otras tuberculosis miliares|24|INFECTIOUS,NOTIFIABLE|||||True
A19.9|Tuberculosis miliar, sin otra especificación|24|INFECTIOUS,NOTIFIABLE|||||True
A20|Peste|25|INFECTIOUS,NOTIFIABLE|||||True
A20.0|Peste bubónica|25|INFECTIOUS,NOTIFIABLE|||||True
A20.1|Peste celulocutánea|25|INFECTIOUS,NOTIFIABLE|||||True
A20.2|Peste neumónica|25|INFECTIOUS,NOTIFIABLE|||||True
A20.3|Meningitis por peste|25|INFECTIOUS,NOTIFIABLE|||||True
A20.7|Peste septicémica|25|INFECTIOUS,NOTIFIABLE|||||True
A20.8|Otras formas de peste|25|INFECTIOUS,NOTIFIABLE|||||True
A20.9|Peste, no especificada|25|INFECTIOUS,NOTIFIABLE|||||True
A21|Tularemia|25|INFECTIOUS,NOTIFIABLE|||||True
A21.0|Tularemia ulceroglandular|25|INFECTIOUS,NOTIFIABLE|||||True
A21.1|Tularemia oculoglandular|25|INFECTIOUS,NOTIFIABLE|||||True
A21.2|Tularemia pulmonar|25|INFECTIOUS,NOTIFIABLE|||||True
A21.3|Tularemia gastrointestinal|25|INFECTIOUS,NOTIFIABLE|||||True
A21.7|Tularemia generalizada|25|INFECTIOUS,NOTIFIABLE|||||True
A21.8|Otras formas de tularemia|25|INFECTIOUS,NOTIFIABLE|||||True
A21.9|Tularemia, no especificada|25|INFECTIOUS,NOTIFIABLE|||||True
A22|Carbunco [ántrax]|25|INFECTIOUS,NOTIFIABLE|||||True
A22.0|Carbunco cutáneo|25|INFECTIOUS,NOTIFIABLE|||||True
A22.1|Carbunco pulmonar|25|INFECTIOUS,NOTIFIABLE|||||True
A22.2|Carbunco gastrointestinal|25|INFECTIOUS,NOTIFIABLE|||||True
A22.7|Carbunco septicémico|25|INFECTIOUS,NOTIFIABLE|||||True
A22.8|Otras formas de carbunco|25|INFECTIOUS,NOTIFIABLE|||||True
A22.9|Carbunco, no especificado|25|INFECTIOUS,NOTIFIABLE|||||True
A23|Brucelosis|25|INFECTIOUS,NOTIFIABLE|||||True
A23.0|Brucelosis debida a Brucella melitensis|25|INFECTIOUS,NOTIFIABLE|||||True
A23.1|Brucelosis debida a Brucella abortus|25|INFECTIOUS,NOTIFIABLE|||||True
A23.2|Brucelosis debida a Brucella suis|25|INFECTIOUS,NOTIFIABLE|||||True
A23.3|Brucelosis debida a Brucella canis|25|INFECTIOUS,NOTIFIABLE|||||True
A23.8|Otras brucelosis|25|INFECTIOUS,NOTIFIABLE|||||True
